from,to,time,,,,,,,
eur,mrs,1803,,,,,,,
eur,sag,1804,,,,,,,
eur,sha,1804,,,,,,,
eur,ck,1804,,,,,,,
eur,mda,1805,,,,,,,
laca,mda,1803,,,,,,,
laca,bng,1803,,,,,,,
laca,sag,1804,,,,,,,
laca,sha,1804,,,,,,,
laca,sha,1805,,,,,,,
laca,bng,1805,,,,,,,
swp,sag,1804,,,,,,,
swp,sha,1804,,,,,,,
swp,mda,1805,,,,,,,
hdt,sha,1803,,,,,,,
hdt,bbs,1803,,,,,,,
hdt,sha,1804,,,,,,,
hdt,mda,1804,,,,,,,
hdt,mrs,1805,,,,,,,
hdt,bng,1805,,,,,,,
hdt,sag,1805,,,,,,,
hdt,sha,1805,,,,,,,
unn,mrs,1803,,,,,,,
unn,sha,1804,,,,,,,
unn,mda,1804,,,,,,,
unn,sha,1804,,,,,,,
unn,bng,1805,,,,,,,
unn,sag,1805,,,,,,,
unn,sha,1805,,,,,,,
unn,ck,1805,,,,,,,
esx,mrs,1804,,,,,,,
esx,tcy,1804,,,,,,,
esx,bbs,1804,,,,,,,
esx,sha,1804,,,,,,,
wcs,bbs,1804,,,,,,,
wcs,mlc,1804,,,,,,,
wcs,waa,1804,,,,,,,
wcs,pag,1805,,,,,,,
wcs,sha,1805,,,,,,,
cyl,bbs,1803,,,,,,,
cyl,tcy,1803,,,,,,,
cyl,bng,1803,,,,,,,
cyl,sag,1803,,,,,,,
cyl,mrs,1804,,,,,,,
cyl,sha,1804,,,,,,,
cyl,mrs,1805,,,,,,,
cyl,bng,1805,,,,,,,
cyl,sag,1805,,,,,,,
axd,fcl,1804,,,,,,,
axd,bng,1804,,,,,,,
axd,sag,1805,,,,,,,
axd,mrs,1805,,,,,,,
axd,sha,1805,,,,,,,
epht,mrs,1804,,,,,,,
epht,cta,1804,,,,,,,
epht,sag,1804,,,,,,,
epht,mrs,1804,,,,,,,
epht,sha,1804,,,,,,,
epht,ck,1805,,,,,,,
epht,fcl,1805,,,,,,,
epht,sha,1805,,,,,,,
mra,kge,1804,,,,,,,
mra,mlc,1804,,,,,,,
mra,sha,1804,,,,,,,
dvsh,mrs,1805,,,,,,,
dvsh,dh,1805,,,,,,,
dvsh,sag,1805,,,,,,,
srry,mrs,1805,,,,,,,
srry,dh,1805,,,,,,,
srry,sag,1805,,,,,,,
lkh,mda,1804,,,,,,,
lkh,mrs,1804,,,,,,,
lkh,dh,1805,,,,,,,
lkh,sag,1805,,,,,,,
lkh,sha,1805,,,,,,,
phex,sha,1805,,,,,,,
phex,dh,1805,,,,,,,
phex,sag,1805,,,,,,,
hpe,bng,1805,,,,,,,
hpe,sha,1805,,,,,,,
jdg,ck,1805,,,,,,,
jdg,mda,1805,,,,,,,
unn,mda,1804,,,,,,,
unn,sha,1804,,,,,,,
unn,sag,1805,,,,,,,
unn,sha,1805,,,,,,,
rtt,bmb,1805,,,,,,,
ntl,mda,1805,,,,,,,
ntl,sha,1805,,,,,,,
wpt,ck,1805,,,,,,,
wpt,mda,1805,,,,,,,
shm,mda,1805,,,,,,,
hrm,mda,1805,,,,,,,
hnd,cta,1801,,,,,,,
hnd,sha,1801,,,,,,,
ntw,sha,1801,,,,,,,
ntw,cgh,1801,,,,,,,
ntw,mrs,1801,,,,,,,
ntw,cta,1801,,,,,,,
ntw,sag,1801,,,,,,,
ntw,sha,1802,,,,,,,
pnc,mrs,1802,,,,,,,
pnc,pag,1802,,,,,,,
pnc,mlc,1802,,,,,,,
pnc,waa,1802,,,,,,,
pnc,sha,1803,,,,,,,
pnc,mlc,1805,,,,,,,
pnc,sha,1805,,,,,,,
pnc,waa,1805,,,,,,,
seh,cta,1801,,,,,,,
seh,dh,1801,,,,,,,
seh,kge,1801,,,,,,,
seh,cgh,1801,,,,,,,
seh,sha,1802,,,,,,,
jbw,cta,1801,,,,,,,
jbw,sag,1801,,,,,,,
jbw,cgh,1801,,,,,,,
jbw,sha,1802,,,,,,,
sfk,cgh,1801,,,,,,,
sfk,cta,1801,,,,,,,
sfk,dh,1801,,,,,,,
eom,cta,1800,,,,,,,
eom,kge,1800,,,,,,,
eom,sha,1800,,,,,,,
skc,sha,1800,,,,,,,
skc,cta,1801,,,,,,,
skc,kge,1801,,,,,,,
skc,ang,1801,,,,,,,
skc,bmb,1801,,,,,,,
skc,sha,1801,,,,,,,
skc,sha,1802,,,,,,,
skc,cgh,1802,,,,,,,
skc,mrs,1803,,,,,,,
skc,mrs,1805,,,,,,,
skc,coc,1805,,,,,,,
skc,bmb,1805,,,,,,,
trv,cta,1801,,,,,,,
trv,bng,1801,,,,,,,
trv,ang,1801,,,,,,,
trv,bmb,1801,,,,,,,
trv,sha,1801,,,,,,,
